timestamp,produced_energy,consumed_energy,battery_charged_energy,battery_discharged_energy,grid_feedin_energy,grid_purchase_energy
2020-01-01T00:00:00+01:00,2163,63689,387,64,50,61898
2020-01-02T00:00:00+01:00,2058,66880,255,0,32,65109
2020-01-03T00:00:00+01:00,6139,64810,2412,1776,78,59384
2020-01-04T00:00:00+01:00,1592,64863,247,0,22,63540
2020-01-05T00:00:00+01:00,19867,71422,5943,4837,151,52812
2020-01-06T00:00:00+01:00,18657,61447,7442,6172,231,44290
2020-01-07T00:00:00+01:00,3698,59689,894,490,51,56446
2020-01-08T00:00:00+01:00,10935,60620,5285,4294,475,51151
2020-01-09T00:00:00+01:00,16016,59921,9372,7816,447,45909
2020-01-10T00:00:00+01:00,10751,50219,6002,4857,545,41158
2020-01-11T00:00:00+01:00,4660,55898,1565,1033,64,51833
2020-01-12T00:00:00+01:00,15163,63110,7530,6247,305,49535
2020-01-13T00:00:00+01:00,11560,57241,6437,5403,119,46834
2020-01-14T00:00:00+01:00,19378,62541,9661,7834,387,45378
2020-01-15T00:00:00+01:00,20854,62647,11345,9003,186,44322
2020-01-16T00:00:00+01:00,17860,60147,9072,7587,191,43963
2020-01-17T00:00:00+01:00,13506,47763,8149,6709,395,36092
2020-01-18T00:00:00+01:00,8006,60695,2167,1599,118,53376
2020-01-19T00:00:00+01:00,9842,52203,4328,3443,185,43432
2020-01-20T00:00:00+01:00,22252,60635,11087,9356,1417,41531
2020-01-21T00:00:00+01:00,21591,67758,9443,7877,451,48185
2020-01-22T00:00:00+01:00,2640,64029,348,32,35,61741
2020-01-23T00:00:00+01:00,2285,75023,259,0,28,73025
2020-01-24T00:00:00+01:00,14713,67525,8405,7006,147,54358
2020-01-25T00:00:00+01:00,9763,66306,3228,2603,77,57245
2020-01-26T00:00:00+01:00,13440,62298,6057,5022,95,49988
2020-01-27T00:00:00+01:00,17822,44271,11073,9025,1318,29815
2020-01-28T00:00:00+01:00,2357,53332,769,394,42,51390
2020-01-29T00:00:00+01:00,2489,67285,319,28,28,65115
2020-01-30T00:00:00+01:00,20611,63000,8247,6876,379,44140
2020-01-31T00:00:00+01:00,7813,45518,4071,3245,132,38663
2020-02-01T00:00:00+01:00,15074,60449,6671,5485,110,46670
2020-02-02T00:00:00+01:00,1806,48684,177,0,12,47067
2020-02-03T00:00:00+01:00,969,33765,144,0,6,32946
2020-02-04T00:00:00+01:00,4953,47657,1782,1161,64,43390
2020-02-05T00:00:00+01:00,10729,60749,4527,3638,289,51198
2020-02-06T00:00:00+01:00,25009,65961,11154,9374,816,43548
2020-02-07T00:00:00+01:00,26635,60206,12275,9866,2289,38270
2020-02-08T00:00:00+01:00,22674,72058,8320,6933,322,51093
2020-02-09T00:00:00+01:00,25308,47115,10740,8892,4970,28625
2020-02-10T00:00:00+01:00,5229,33414,2320,1758,222,28970
2020-02-11T00:00:00+01:00,7967,60431,3630,2905,637,53826
2020-02-12T00:00:00+01:00,11156,66893,3254,2499,241,56733
2020-02-13T00:00:00+01:00,12401,55927,6065,4931,149,44809
2020-02-14T00:00:00+01:00,7303,41841,4080,3264,126,35481
2020-02-15T00:00:00+01:00,23475,74116,10273,8572,723,53065
2020-02-16T00:00:00+01:00,9070,45259,3921,3115,105,37100
2020-02-17T00:00:00+01:00,18431,36230,10782,8739,1608,21450
2020-02-18T00:00:00+01:00,22204,46922,10625,8644,4851,31550
2020-02-19T00:00:00+01:00,10968,57250,5142,4169,258,47514
2020-02-20T00:00:00+01:00,18690,57493,8313,6920,657,40854
2020-02-21T00:00:00+01:00,13115,45859,7474,6199,414,34434
2020-02-22T00:00:00+01:00,27373,54916,12235,10251,3583,33110
2020-02-23T00:00:00+01:00,5728,34073,3505,2701,124,29273
2020-02-24T00:00:00+01:00,17076,24180,9850,8307,5336,13982
2020-02-25T00:00:00+01:00,11867,40051,7143,5919,247,29656
2020-02-26T00:00:00+01:00,15181,57539,5734,4655,306,43742
2020-02-27T00:00:00+01:00,6959,68581,2396,1804,64,62278
2020-02-28T00:00:00+01:00,27849,58938,10947,8934,2029,35130
2020-02-29T00:00:00+01:00,9699,59581,2912,2254,70,50610
2020-03-01T00:00:00+01:00,26377,47024,11471,9520,6341,28939
2020-03-02T00:00:00+01:00,4526,43933,1172,735,68,39912
2020-03-03T00:00:00+01:00,13237,60035,5037,4103,152,47884
