timestamp,produced_energy,consumed_energy,battery_charged_energy,battery_discharged_energy,grid_feedin_energy,grid_purchase_energy
2022-01-01T00:00:00+01:00,18729,56682,8809,7388,177,39551
2022-01-02T00:00:00+01:00,8266,54329,2487,1881,66,46735
2022-01-03T00:00:00+01:00,4303,36647,1039,581,55,32858
2022-01-04T00:00:00+01:00,4039,34476,2127,1560,90,31094
2022-01-05T00:00:00+01:00,1899,57405,372,25,30,55884
2022-01-06T00:00:00+01:00,1733,58420,223,0,6,56917
2022-01-07T00:00:00+01:00,5384,60805,1435,789,48,56115
2022-01-08T00:00:00+01:00,7058,60558,2122,1474,67,54215
2022-01-09T00:00:00+01:00,8597,51530,2826,2193,62,43628
2022-01-10T00:00:00+01:00,1496,51504,431,0,1,50440
2022-01-11T00:00:00+01:00,16894,58597,6793,5585,181,43092
2022-01-12T00:00:00+01:00,21341,70795,7271,5985,315,51056
2022-01-13T00:00:00+01:00,21068,67744,7642,6333,202,48187
2022-01-14T00:00:00+01:00,19394,65033,7570,6277,153,47085
2022-01-15T00:00:00+01:00,3543,64304,625,278,53,61161
2022-01-16T00:00:00+01:00,7754,66855,2522,1742,44,59926
2022-01-17T00:00:00+01:00,6774,48326,1202,825,77,42005
2022-01-18T00:00:00+01:00,20687,58913,9714,8017,254,40177
2022-01-19T00:00:00+01:00,21002,62840,8564,7150,342,43594
2022-01-20T00:00:00+01:00,2425,52556,298,3,14,50440
2022-01-21T00:00:00+01:00,5765,56277,1466,808,47,51218
2022-01-22T00:00:00+01:00,2958,62603,669,269,55,60101
2022-01-23T00:00:00+01:00,18502,63344,7116,5772,338,46523
2022-01-24T00:00:00+01:00,5400,52818,1361,991,59,47847
2022-01-25T00:00:00+01:00,3944,60784,884,481,66,57308
2022-01-26T00:00:00+01:00,5122,66722,941,527,49,62063
2022-01-27T00:00:00+01:00,9747,68037,2881,2198,90,59063
2022-01-28T00:00:00+01:00,8854,48974,4518,3601,215,41253
2022-01-29T00:00:00+01:00,12410,58572,5246,4254,93,47246
2022-01-30T00:00:00+01:00,7694,55834,11732,9497,45,50420
2022-01-31T00:00:00+01:00,3821,49647,754,392,41,46230
2022-02-01T00:00:00+01:00,2984,54377,318,0,28,51739
2022-02-02T00:00:00+01:00,1003,46894,147,0,0,46038
2022-02-03T00:00:00+01:00,13843,46692,5582,4489,122,34064
2022-02-04T00:00:00+01:00,20899,52719,10562,8519,464,34328
2022-02-05T00:00:00+01:00,22277,56082,10686,8867,890,36515
2022-02-06T00:00:00+01:00,12736,49299,5351,4357,546,38102
2022-02-07T00:00:00+01:00,8640,44531,2526,1969,172,36619
2022-02-08T00:00:00+01:00,17488,52818,8244,6871,500,37204
2022-02-09T00:00:00+01:00,26185,56160,11198,9215,2735,34693
2022-02-10T00:00:00+01:00,23313,48296,11079,9217,1334,28180
2022-02-11T00:00:00+01:00,14224,47202,6416,5301,333,34426
2022-02-12T00:00:00+01:00,27457,60658,11185,9332,1070,36126
2022-02-13T00:00:00+01:00,27002,58225,12081,10098,1115,34322
2022-02-14T00:00:00+01:00,15947,38206,9428,7807,717,24597
2022-02-15T00:00:00+01:00,4203,44338,777,295,72,40688
2022-02-16T00:00:00+01:00,2475,46977,258,0,18,44777
2022-02-17T00:00:00+01:00,5890,41065,1958,1364,115,35883
2022-02-18T00:00:00+01:00,8341,37937,2398,1754,121,30361
2022-02-19T00:00:00+01:00,9913,48805,3668,2876,105,39790
2022-02-20T00:00:00+01:00,22218,39457,10853,8813,3524,22803
2022-02-21T00:00:00+01:00,16188,42512,7630,6270,897,28581
2022-02-22T00:00:00+01:00,16854,45042,7912,6522,1026,30604
2022-02-23T00:00:00+01:00,21028,41290,10703,8839,1830,23956
2022-02-24T00:00:00+01:00,19430,44092,9305,7688,381,26659
2022-02-25T00:00:00+01:00,22445,53918,10469,8725,1508,34724
2022-02-26T00:00:00+01:00,25277,48136,12204,10197,4453,29319
2022-02-27T00:00:00+01:00,30772,55876,10641,8852,7851,34745
2022-02-28T00:00:00+01:00,30247,53191,10786,8985,5643,30388
2022-03-01T00:00:00+01:00,29476,55617,10007,8283,7851,35716
2022-03-02T00:00:00+01:00,18975,53037,9231,7661,172,35804
2022-03-03T00:00:00+01:00,28725,52044,10947,8914,4314,29665
2022-03-04T00:00:00+01:00,29080,51000,10523,8895,4951,28499
2022-03-05T00:00:00+01:00,29608,63106,12263,10308,2175,37628
2022-03-06T00:00:00+01:00,26948,54353,12263,10083,1186,30772
2022-03-07T00:00:00+01:00,28925,47215,10326,8797,7292,27112
2022-03-08T00:00:00+01:00,26603,53507,11460,9546,3753,32572
2022-03-09T00:00:00+01:00,29565,49012,10183,8388,8466,29708
2022-03-10T00:00:00+01:00,30333,48137,10617,8798,7937,27560
2022-03-11T00:00:00+01:00,28841,44399,10477,8647,7242,24629
2022-03-12T00:00:00+01:00,23833,41603,12395,10264,3879,23780
2022-03-13T00:00:00+01:00,30408,32469,11746,9913,9512,13406
2022-03-14T00:00:00+01:00,30580,31573,10123,8332,10513,13298
2022-03-15T00:00:00+01:00,2409,38508,665,255,68,36577
2022-03-16T00:00:00+01:00,17647,32683,11284,9074,261,17509
2022-03-17T00:00:00+01:00,10843,36102,5966,4948,179,26456
2022-03-18T00:00:00+01:00,9484,34232,5335,4322,136,25897
2022-03-19T00:00:00+01:00,28805,51580,11647,9916,6518,31024
2022-03-20T00:00:00+01:00,32020,36010,11502,9626,12174,18040
2022-03-21T00:00:00+01:00,26344,33925,10789,8944,6163,15589
2022-03-22T00:00:00+01:00,32207,34977,10225,8407,15564,20152
2022-03-23T00:00:00+01:00,32408,42079,12323,10110,7292,19176
2022-03-24T00:00:00+01:00,31751,34829,10037,7050,11446,17512
2022-03-25T00:00:00+01:00,30835,36759,9969,9586,11528,17834
2022-03-26T00:00:00+01:00,30336,37230,12116,9999,10644,19656
2022-03-27T00:00:00+01:00,31588,28907,11108,7697,14312,15042
2022-03-28T00:00:00+02:00,30482,31160,11462,8627,9117,12630
2022-03-29T00:00:00+02:00,17369,28804,10059,6831,3176,17839
2022-03-30T00:00:00+02:00,8767,37637,3821,6885,148,25954
2022-03-31T00:00:00+02:00,10956,38274,5081,4034,154,28519
2022-04-01T00:00:00+02:00,5971,47188,1787,1120,107,41991
2022-04-02T00:00:00+02:00,1815,54948,133,0,0,53267
2022-04-03T00:00:00+02:00,16808,49208,8072,6682,1060,34851
2022-04-04T00:00:00+02:00,30840,43247,11104,9201,7849,22159
2022-04-05T00:00:00+02:00,6567,41666,2199,1574,174,35898
2022-04-06T00:00:00+02:00,30873,32487,10333,6457,13266,18756
2022-04-07T00:00:00+02:00,18286,31177,11196,11218,763,13632
2022-04-08T00:00:00+02:00,13097,31854,7560,6296,236,20257
2022-04-09T00:00:00+02:00,14179,48985,5188,4265,287,36016
2022-04-10T00:00:00+02:00,24710,45172,11253,9512,1587,23790
2022-04-11T00:00:00+02:00,35361,25129,10168,6756,20079,13258
2022-04-12T00:00:00+02:00,32390,17673,10060,3727,19167,10783
2022-04-13T00:00:00+02:00,32915,17365,9986,6399,20342,8379
2022-04-14T00:00:00+02:00,32385,15460,9979,8035,19937,4957
2022-04-15T00:00:00+02:00,15753,11335,7405,7448,6596,2134
2022-04-16T00:00:00+02:00,22577,30563,11928,16111,5439,9242
2022-04-17T00:00:00+02:00,35491,22893,11158,6640,18020,9940
2022-04-18T00:00:00+02:00,35464,19568,10027,7984,22325,8472
2022-04-19T00:00:00+02:00,35230,19191,10119,5175,19756,8661
2022-04-20T00:00:00+02:00,34933,23519,10935,11544,18701,6678
2022-04-21T00:00:00+02:00,34436,22405,9981,8405,18986,8532
2022-04-22T00:00:00+02:00,29407,24532,10343,10740,14674,9402
2022-04-23T00:00:00+02:00,14023,48450,6619,6287,182,34941
2022-04-24T00:00:00+02:00,15481,31325,8768,7262,481,17832
2022-04-25T00:00:00+02:00,16293,29156,9731,8076,952,15470
2022-04-26T00:00:00+02:00,13372,38870,6095,4953,558,27198
2022-04-27T00:00:00+02:00,35534,30304,10947,6446,17907,17177
2022-04-28T00:00:00+02:00,35469,30946,11066,9745,13145,9943
2022-04-29T00:00:00+02:00,33196,26302,10238,5701,14317,11960
2022-04-30T00:00:00+02:00,11671,29003,7645,10783,565,14759
2022-05-01T00:00:00+02:00,28588,22321,10592,7289,13835,10871
2022-05-02T00:00:00+02:00,36199,27150,9968,8163,16674,9430
2022-05-03T00:00:00+02:00,22414,24701,10635,4527,3652,12047
2022-05-04T00:00:00+02:00,17103,27626,9932,12478,519,8497
2022-05-05T00:00:00+02:00,18742,25814,10223,6726,3131,13701
2022-05-06T00:00:00+02:00,8462,28098,4101,6250,197,17683
2022-05-07T00:00:00+02:00,11537,30985,4789,3867,203,20572
2022-05-08T00:00:00+02:00,26105,28575,12217,5964,2925,11648
2022-05-09T00:00:00+02:00,32398,17320,10396,7372,13184,1131
2022-05-10T00:00:00+02:00,32362,24813,10529,9452,14934,8461
2022-05-11T00:00:00+02:00,32996,21960,10661,12259,16862,4227
2022-05-12T00:00:00+02:00,33514,24699,10083,5657,14810,10421
2022-05-13T00:00:00+02:00,11094,26057,4503,7685,239,12020
2022-05-14T00:00:00+02:00,28963,35408,12699,8290,2310,13164
2022-05-15T00:00:00+02:00,33574,32393,10694,10140,7065,6438
2022-05-16T00:00:00+02:00,19859,24081,10463,7808,370,7246
2022-05-17T00:00:00+02:00,34240,24978,10245,7060,15167,9090
2022-05-18T00:00:00+02:00,32762,30243,10293,9544,11120,9349
2022-05-19T00:00:00+02:00,27269,24601,9760,8374,10175,8893
2022-05-20T00:00:00+02:00,32635,29910,10131,10521,10732,7617
2022-05-21T00:00:00+02:00,16807,42260,3756,3095,137,26251
2022-05-22T00:00:00+02:00,22902,26824,11475,7521,1212,9088
2022-05-23T00:00:00+02:00,20214,21755,11678,11742,2897,4373
2022-05-24T00:00:00+02:00,7181,31252,1172,1125,105,24222
2022-05-25T00:00:00+02:00,22554,30890,10483,6071,1795,14542
2022-05-26T00:00:00+02:00,28154,32738,10685,11328,4378,8320
2022-05-27T00:00:00+02:00,31604,28619,10088,4205,11637,14535
2022-05-28T00:00:00+02:00,17500,28480,10084,11698,239,9604
2022-05-29T00:00:00+02:00,17436,43922,6553,6670,322,26691
2022-05-30T00:00:00+02:00,32115,32411,10350,8084,10781,13343
2022-05-31T00:00:00+02:00,13444,34983,6118,5670,242,22229
2022-06-01T00:00:00+02:00,22747,30909,10248,8598,4013,13825
2022-06-02T00:00:00+02:00,23403,27592,11271,7150,2943,11253
2022-06-03T00:00:00+02:00,21043,26214,9976,10209,3126,8064
2022-06-04T00:00:00+02:00,32360,35566,10863,9591,7947,12424
2022-06-05T00:00:00+02:00,20748,35238,10770,9183,999,17075
2022-06-06T00:00:00+02:00,23546,33995,8396,6946,188,12087
2022-06-07T00:00:00+02:00,16119,30490,8720,7270,619,16440
2022-06-08T00:00:00+02:00,29457,24050,9996,7102,14165,11653
2022-06-09T00:00:00+02:00,15155,22494,9796,8220,837,9752
2022-06-10T00:00:00+02:00,32925,28085,9965,9432,15687,11380
2022-06-11T00:00:00+02:00,33932,47529,11525,9787,6173,21508
2022-06-12T00:00:00+02:00,33105,37434,11265,8005,6822,14410
2022-06-13T00:00:00+02:00,11362,24652,4148,4963,201,12677
2022-06-14T00:00:00+02:00,33634,30947,10051,8214,15692,14842
2022-06-15T00:00:00+02:00,25244,28369,10323,7427,5210,11232
2022-06-16T00:00:00+02:00,22725,24497,12118,7164,2739,9466
2022-06-17T00:00:00+02:00,32849,25471,9889,10918,13142,4735
2022-06-18T00:00:00+02:00,32138,36023,10958,10885,6199,10156
2022-06-19T00:00:00+02:00,31914,31905,11999,8910,5036,8116
2022-06-20T00:00:00+02:00,30741,24874,10223,5835,5395,3917
2022-06-21T00:00:00+02:00,27432,23117,10524,9074,7034,4169
2022-06-22T00:00:00+02:00,15312,24795,7235,9630,370,7458
2022-06-23T00:00:00+02:00,33395,24555,10079,4025,13544,10758
2022-06-24T00:00:00+02:00,9326,27857,4235,7800,211,15178
2022-06-25T00:00:00+02:00,33545,35862,11800,9654,7136,11598
2022-06-26T00:00:00+02:00,32600,33565,11883,8967,3340,7222
2022-06-27T00:00:00+02:00,22711,27043,11546,11032,281,5127
2022-06-28T00:00:00+02:00,9615,24181,3547,2776,160,15497
2022-06-29T00:00:00+02:00,21825,28540,11145,7512,871,11220
2022-06-30T00:00:00+02:00,26081,24918,10696,6662,4885,7756
2022-07-01T00:00:00+02:00,8316,27975,2598,6123,105,16240
2022-07-02T00:00:00+02:00,33913,27673,11114,6800,15523,13597
2022-07-03T00:00:00+02:00,33042,26721,10439,9850,12347,6614
2022-07-04T00:00:00+02:00,19135,22140,10137,8157,1860,6846
2022-07-05T00:00:00+02:00,22879,25079,10179,8735,5113,8758
2022-07-06T00:00:00+02:00,32700,26602,10011,6769,13498,10643
2022-07-07T00:00:00+02:00,21060,24767,10437,7807,661,6998
2022-07-08T00:00:00+02:00,29255,32100,10310,12423,7762,8493
2022-07-09T00:00:00+02:00,34076,37124,11159,9336,9451,14321
2022-07-10T00:00:00+02:00,15586,34070,3547,2788,167,19410
