timestamp,produced_energy,consumed_energy,battery_charged_energy,battery_discharged_energy,grid_feedin_energy,grid_purchase_energy
2021-01-01T00:00:00+01:00,5461,59830,1845,1339,77,54952
2021-01-02T00:00:00+01:00,6046,72456,1839,1319,61,66992
2021-01-03T00:00:00+01:00,1234,70029,416,0,1,69212
2021-01-04T00:00:00+01:00,5211,60585,423,80,28,55745
2021-01-05T00:00:00+01:00,1528,78167,409,0,0,77049
2021-01-06T00:00:00+01:00,453,71597,130,0,0,71274
2021-01-07T00:00:00+01:00,4801,67771,1487,874,43,63625
2021-01-08T00:00:00+01:00,6868,76662,1137,737,46,70239
2021-01-09T00:00:00+01:00,17562,86962,4053,3251,58,70260
2021-01-10T00:00:00+01:00,20023,72846,7190,5975,110,54149
2021-01-11T00:00:00+01:00,20835,76133,7781,6483,152,56749
2021-01-12T00:00:00+01:00,1513,83784,10429,0,1,92701
2021-01-13T00:00:00+01:00,5120,69488,854,8634,21,56608
2021-01-14T00:00:00+01:00,43,63528,124,0,0,63609
2021-01-15T00:00:00+01:00,46,72435,127,0,0,72516
2021-01-16T00:00:00+01:00,1848,85662,212,0,9,84035
2021-01-17T00:00:00+01:00,21,78225,415,0,0,78619
2021-01-18T00:00:00+01:00,512,64901,416,0,0,64805
2021-01-19T00:00:00+01:00,9441,81775,2441,1790,47,73032
2021-01-20T00:00:00+01:00,10695,61516,4159,3402,129,51707
2021-01-21T00:00:00+01:00,12847,45858,7729,6370,772,35143
2021-01-22T00:00:00+01:00,11831,57539,5147,4200,121,46775
2021-01-23T00:00:00+01:00,7905,69692,1473,1000,55,62315
2021-01-24T00:00:00+01:00,18645,68562,5766,4617,383,51450
2021-01-25T00:00:00+01:00,564,55614,136,0,0,55186
2021-01-26T00:00:00+01:00,56,62078,409,0,0,62432
2021-01-27T00:00:00+01:00,42,65149,414,2,0,65518
2021-01-28T00:00:00+01:00,2007,54944,563,154,46,53392
2021-01-29T00:00:00+01:00,6496,47061,2875,2180,90,41350
2021-01-30T00:00:00+01:00,3339,70180,614,307,30,67178
2021-01-31T00:00:00+01:00,4729,54233,645,247,35,49938
2021-02-01T00:00:00+01:00,2820,51813,570,94,16,49486
2021-02-02T00:00:00+01:00,3202,52453,251,0,14,49516
2021-02-03T00:00:00+01:00,4586,53896,1837,1070,137,50215
2021-02-04T00:00:00+01:00,16000,53260,7431,6218,207,38681
2021-02-05T00:00:00+01:00,20747,54475,9878,8304,218,35521
2021-02-06T00:00:00+01:00,4492,53346,1408,951,89,49401
2021-02-07T00:00:00+01:00,654,62274,423,0,0,62044
2021-02-08T00:00:00+01:00,19189,51816,8410,6928,350,34459
2021-02-09T00:00:00+01:00,1019,61319,129,0,0,60428
2021-02-10T00:00:00+01:00,1151,75503,410,1,0,74759
2021-02-11T00:00:00+01:00,1818,82557,423,0,4,81165
2021-02-12T00:00:00+01:00,2465,81314,10398,8270,11,80987
2021-02-13T00:00:00+01:00,15843,98531,2263,1693,67,83327
2021-02-14T00:00:00+01:00,29255,71915,10828,9036,1831,46282
2021-02-15T00:00:00+01:00,13572,63086,4516,3595,145,50579
2021-02-16T00:00:00+01:00,12981,52979,5310,4291,331,41348
2021-02-17T00:00:00+01:00,22285,55358,10816,9039,734,35584
2021-02-18T00:00:00+01:00,15467,65653,5222,4264,104,51249
2021-02-19T00:00:00+01:00,16697,60008,7411,6129,235,44828
2021-02-20T00:00:00+01:00,26541,46747,11607,9622,7176,29368
2021-02-21T00:00:00+01:00,28832,45565,12608,10387,3429,22382
2021-02-22T00:00:00+01:00,27615,26855,9763,8235,12087,12855
2021-02-23T00:00:00+01:00,22506,53005,10821,8957,1694,34057
2021-02-24T00:00:00+01:00,23438,54987,8202,6822,127,33056
2021-02-25T00:00:00+01:00,27606,50832,11189,9403,4265,29277
2021-02-26T00:00:00+01:00,22582,50324,10197,8511,176,29603
2021-02-27T00:00:00+01:00,3749,60178,481,154,35,56791
2021-02-28T00:00:00+01:00,29392,56497,12619,10188,3178,32714
2021-03-01T00:00:00+01:00,29620,50430,9811,8388,8734,30966
2021-03-02T00:00:00+01:00,30788,51224,10182,8425,10054,32248
2021-03-03T00:00:00+01:00,9303,50174,3245,2545,136,41706
2021-03-04T00:00:00+01:00,15487,53095,6046,4925,361,39090
2021-03-05T00:00:00+01:00,3343,66463,425,61,23,63507
2021-03-06T00:00:00+01:00,27404,69386,9985,8450,1284,44801
2021-03-07T00:00:00+01:00,8674,56733,1538,1050,84,48632
2021-03-08T00:00:00+01:00,24582,49403,11048,9319,683,27234
2021-03-09T00:00:00+01:00,18235,65372,5164,4249,123,48174
2021-03-10T00:00:00+01:00,18392,61290,5624,4648,181,44055
2021-03-11T00:00:00+01:00,9227,48082,2077,1512,56,39476
2021-03-12T00:00:00+01:00,15425,39786,10322,8592,1032,27123
2021-03-13T00:00:00+01:00,25923,45060,10866,8639,8737,30102
2021-03-14T00:00:00+01:00,20150,55178,9122,7642,1945,38453
2021-03-15T00:00:00+01:00,6488,52724,955,508,53,46734
2021-03-16T00:00:00+01:00,9797,66428,2067,1472,52,57277
2021-03-17T00:00:00+01:00,9844,57884,2712,2089,135,48799
2021-03-18T00:00:00+01:00,16223,69334,4011,3191,310,54241
2021-03-19T00:00:00+01:00,30832,70710,11744,9575,1314,43361
2021-03-20T00:00:00+01:00,22668,73561,8442,6996,982,53321
2021-03-21T00:00:00+01:00,7121,65249,1638,1183,77,58659
