timestamp,production,consumption,battery_charge,battery_discharge,grid_feedin,grid_consumption,battery_state_of_charge,direct_consumption
2021-01-01T00:00:00+01:00,1,4377,5,0,0,4381.0,0,1
2021-01-01T03:00:00+01:00,1,1900,5,0,0,1904.0,0,1
2021-01-01T06:00:00+01:00,56,2555,6,0,0,2505.0,0,56
2021-01-01T09:00:00+01:00,1074,1140,514,33,0,547.0,3,1074
2021-01-01T12:00:00+01:00,605,2423,58,409,0,1467.0,2,605
2021-01-01T15:00:00+01:00,82,2015,17,4,0,1946.0,0,82
2021-01-01T18:00:00+01:00,0,2413,5,0,0,2418.0,0,0
2021-01-01T21:00:00+01:00,0,3132,5,0,0,3137.0,0,0
2021-01-02T00:00:00+01:00,0,4810,5,0,0,4815.0,0,0
2021-01-02T03:00:00+01:00,1,2344,5,0,0,2348.0,0,1
2021-01-02T06:00:00+01:00,60,2366,12,0,0,2318.0,0,60
2021-01-02T09:00:00+01:00,876,2047,426,110,0,1487.0,1,876
2021-01-02T12:00:00+01:00,1045,3138,149,330,0,1912.0,3,1045
2021-01-02T15:00:00+01:00,31,2661,5,0,0,2635.0,0,31
2021-01-02T18:00:00+01:00,0,3789,5,0,0,3794.0,0,0
2021-01-02T21:00:00+01:00,1,3011,5,0,0,3015.0,0,1
2021-01-03T00:00:00+01:00,2,2887,5,0,0,2890.0,0,2
2021-01-03T03:00:00+01:00,1,1822,5,0,0,1826.0,0,1
2021-01-03T06:00:00+01:00,1,2424,5,0,0,2428.0,0,1
2021-01-03T09:00:00+01:00,99,2453,6,0,0,2360.0,0,99
2021-01-03T12:00:00+01:00,284,4305,100,0,0,4121.0,0,284
2021-01-03T15:00:00+01:00,23,3136,6,0,0,3119.0,0,23
2021-01-03T18:00:00+01:00,0,3514,6,0,0,3520.0,0,0
2021-01-03T21:00:00+01:00,0,2796,6,0,0,2802.0,0,0
2021-01-04T00:00:00+01:00,0,1871,5,0,0,1876.0,0,0
2021-01-04T03:00:00+01:00,0,2333,5,0,0,2338.0,0,0
2021-01-04T06:00:00+01:00,7,2845,6,0,0,2844.0,0,7
