timestamp,production,consumption,battery_charge,battery_discharge,grid_feedin,grid_consumption,battery_state_of_charge,direct_consumption
2023-01-01T00:00:00+01:00,0,986,5,0,0,991,0,0
2023-01-01T03:00:00+01:00,0,342,5,0,0,347,0,0
2023-01-01T06:00:00+01:00,173,1715,69,27,3,1586,0,173
2023-01-01T09:00:00+01:00,2618,2066,1577,227,32,830,13,2066
2023-01-01T12:00:00+01:00,2438,975,1791,248,88,168,71,975
2023-01-01T15:00:00+01:00,198,1498,65,1221,15,159,68,198
2023-01-01T18:00:00+01:00,0,1553,1,1206,16,362,18,0
2023-01-01T21:00:00+01:00,0,734,5,3,0,736,0,0
2023-01-02T00:00:00+01:00,1,365,5,0,0,369,0,1
2023-01-02T03:00:00+01:00,1,887,5,0,0,892,0,1
2023-01-02T06:00:00+01:00,186,672,71,51,3,509,0,186
2023-01-02T09:00:00+01:00,980,775,554,0,41,390,10,775
2023-01-02T12:00:00+01:00,815,1643,181,592,26,444,8,815
2023-01-02T15:00:00+01:00,98,1782,11,1,4,1698,0,98
2023-01-02T18:00:00+01:00,1,1443,6,0,0,1447,0,1
2023-01-02T21:00:00+01:00,1,322,6,0,0,327,0,1
2023-01-03T00:00:00+01:00,1,2505,6,0,0,2510,0,1
2023-01-03T03:00:00+01:00,1,1535,6,0,0,1539,0,1
2023-01-03T06:00:00+01:00,3,1689,6,0,0,1692,0,3
2023-01-03T09:00:00+01:00,162,1006,8,0,2,854,0,162
2023-01-03T12:00:00+01:00,295,1422,62,2,15,1201,0,295
2023-01-03T15:00:00+01:00,13,1205,7,0,0,1198,0,13
2023-01-03T18:00:00+01:00,2,1924,6,0,0,1929,0,2
2023-01-03T21:00:00+01:00,3,1217,7,0,0,1221,0,3
2023-01-04T00:00:00+01:00,3,2563,7,0,0,2566,0,3
2023-01-04T03:00:00+01:00,4,2508,7,0,0,2511,0,4
2023-01-04T06:00:00+01:00,22,1797,98,0,0,1873,0,22
2023-01-04T09:00:00+01:00,589,1493,259,126,26,1062,3,589
2023-01-04T12:00:00+01:00,328,2226,1136,64,8,2976,6,328
2023-01-04T15:00:00+01:00,31,1656,2051,3,0,3673,81,31
2023-01-04T18:00:00+01:00,2,1806,0,1544,8,269,67,2
2023-01-04T21:00:00+01:00,2,1208,0,996,7,217,16,2
2023-01-05T00:00:00+01:00,2,2235,5,190,0,2048,1,2
2023-01-05T03:00:00+01:00,3,1504,6,0,0,1507,0,3
2023-01-05T06:00:00+01:00,16,1514,6,0,0,1504,0,16
2023-01-05T09:00:00+01:00,411,2096,18,0,8,1711,0,411
2023-01-05T12:00:00+01:00,557,2506,21,2,4,1972,0,557
2023-01-05T15:00:00+01:00,31,2707,7,0,0,2682,0,31
2023-01-05T18:00:00+01:00,2,1823,2672,0,0,4493,32,2
2023-01-05T21:00:00+01:00,2,1006,581,842,3,747,87,2
2023-01-06T00:00:00+01:00,2,2822,0,1753,3,1070,32,2
2023-01-06T03:00:00+01:00,3,1904,4,124,1,1783,2,3
2023-01-06T06:00:00+01:00,154,2368,7,0,0,2221,0,154
2023-01-06T09:00:00+01:00,2805,1886,1262,259,67,152,15,1886
2023-01-06T12:00:00+01:00,1207,1596,615,836,31,199,15,1207
2023-01-06T15:00:00+01:00,291,1368,162,608,10,639,10,291
2023-01-06T18:00:00+01:00,1,1561,6,0,0,1566,0,1
2023-01-06T21:00:00+01:00,2,1881,6,0,0,1885,0,2
2023-01-07T00:00:00+01:00,3,2752,6,0,0,2755,0,3
2023-01-07T03:00:00+01:00,3,1502,99,1,0,1597,0,3
2023-01-07T06:00:00+01:00,68,2604,35,0,1,2573,0,68
2023-01-07T09:00:00+01:00,2790,1787,1442,226,64,276,10,1787
2023-01-07T12:00:00+01:00,2425,1671,1166,364,26,75,52,1671
2023-01-07T15:00:00+01:00,296,2398,3,1603,7,509,31,296
2023-01-07T18:00:00+01:00,2,1959,6,11,0,1952,0,2
2023-01-07T21:00:00+01:00,1,2073,6,0,0,2077,0,1
2023-01-08T00:00:00+01:00,2,1203,6,0,0,1207,0,2
2023-01-08T03:00:00+01:00,3,1937,6,0,0,1941,0,3
2023-01-08T06:00:00+01:00,3,1812,6,0,0,1815,0,3
2023-01-08T09:00:00+01:00,190,2814,6,0,0,2630,0,190
2023-01-08T12:00:00+01:00,329,2345,12,2,3,2029,0,329
2023-01-08T15:00:00+01:00,89,2931,6,0,0,2848,0,89
2023-01-08T18:00:00+01:00,1,2843,6,0,0,2848,0,1
2023-01-08T21:00:00+01:00,1,1406,6,0,0,1411,0,1
2023-01-09T00:00:00+01:00,2,1297,6,0,0,1301,0,2
2023-01-09T03:00:00+01:00,3,1447,6,0,0,1450,0,3
2023-01-09T06:00:00+01:00,25,2353,6,0,0,2335,0,25
2023-01-09T09:00:00+01:00,682,1268,201,18,46,817,0,682
2023-01-09T12:00:00+01:00,684,1287,246,241,23,631,2,684
2023-01-09T15:00:00+01:00,80,2064,6,58,3,1935,0,80
2023-01-09T18:00:00+01:00,1,1940,6,0,0,1945,0,1
2023-01-09T21:00:00+01:00,3,1028,6,0,0,1032,0,3
2023-01-10T00:00:00+01:00,3,2857,6,0,0,2859,0,3
2023-01-10T03:00:00+01:00,5,2546,6,0,0,2547,0,5
2023-01-10T06:00:00+01:00,9,1631,6,0,0,1629,0,9
2023-01-10T09:00:00+01:00,857,1293,541,0,91,1068,2,857
2023-01-10T12:00:00+01:00,2606,1545,1197,148,78,67,26,1545
2023-01-10T15:00:00+01:00,354,2154,90,1340,6,556,21,354
2023-01-10T18:00:00+01:00,1,1880,7,12,0,1874,0,1
